Date,Open,High,Low,Close,Adj Close,Volume
2015-02-23,12.806,13.2,12.806,13.2,9.026579,500
2015-02-24,13.262,13.262,13.262,13.262,9.068976,0
2015-02-25,13.298,13.298,13.298,13.298,9.093596,0
2015-02-26,13.137,13.137,13.137,13.137,8.983498,0
2015-02-27,13.041,13.041,13.041,13.041,8.91785,0
2015-03-02,12.813,13.376,12.813,13.376,9.146934,250
2015-03-03,13.008,13.008,13.008,13.008,8.895285,0
2015-03-04,12.871,12.871,12.871,12.871,8.801599,0
2015-03-05,12.906,12.906,12.906,12.906,8.825533,0
2015-03-06,13.03,13.03,13.03,13.03,8.910328,0
2015-03-09,13.153,13.153,13.153,13.153,8.994439,0
2015-03-10,13.394,13.394,13.394,13.394,9.159243,0
2015-03-11,13.015,13.015,13.015,13.015,8.90007,0
2015-03-12,12.885,12.885,12.885,12.885,8.811172,0
2015-03-13,12.757,12.757,12.757,12.757,8.723642,0
2015-03-16,12.451,12.451,12.451,12.451,8.514389,0
2015-03-17,12.577,12.932,12.577,12.932,8.843312,80
2015-03-18,12.893,13.5,12.893,13.5,9.231729,150
2015-03-19,13.204,13.204,13.204,13.204,9.029315,0
2015-03-20,13.411,13.411,13.411,13.411,9.170869,0
2015-03-23,13.465,13.465,13.465,13.465,9.207795,0
2015-03-24,13.602,13.787,13.602,13.787,9.427988,380
2015-03-25,13.754,13.754,13.754,13.754,9.405422,0
2015-03-26,14.134,14.134,14.134,14.134,9.665278,0
2015-03-27,13.938,14.266,13.938,14.266,9.755544,67
2015-03-30,13.914,13.914,13.914,13.914,9.514834,0
2015-03-31,14.176,14.176,14.176,14.176,9.693999,0
2015-04-01,14.25,14.5,14.25,14.5,9.915561,445
2015-04-02,14.17,14.17,14.17,14.17,9.689896,0
2015-04-07,14.17,14.497,14.17,14.497,9.913509,0
2015-04-08,14.888,14.888,14.888,14.888,10.180887,0
2015-04-09,15.071,15.589,15.071,15.589,10.660253,1500
2015-04-10,15.446,15.446,15.446,15.446,10.562466,0
2015-04-13,15.377,15.978,15.377,15.978,10.926264,625
2015-04-14,15.507,15.507,15.507,15.507,10.604179,0
2015-04-15,15.558,15.558,15.558,15.558,10.639054,0
2015-04-16,15.45,15.45,15.45,15.45,10.565201,1300
2015-04-17,14.906,14.906,14.906,14.906,10.193196,0
2015-04-20,14.628,14.628,14.628,14.628,10.003091,0
2015-04-21,15.261,15.261,15.261,15.261,10.435956,0
2015-04-22,15.643,15.643,15.643,15.643,10.69718,0
2015-04-23,16.113001,16.113001,15.975,15.975,10.924212,300
2015-04-24,15.981,15.981,15.981,15.981,10.928315,0
2015-04-27,16.193001,16.193001,16.193001,16.193001,11.073288,0
2015-04-28,17.127001,17.127001,17.127001,17.127001,11.711987,0
2015-04-29,17.129,17.129,17.129,17.129,11.713354,0
2015-04-30,16.555,16.9,16.555,16.9,11.556756,250
2015-05-04,16.9,16.9,16.573,16.573,11.333144,0
2015-05-05,17.045,17.045,17,17,11.625141,60
2015-05-06,16.561001,16.561001,16.561001,16.561001,11.324939,0
2015-05-07,16.013,16.013,16.013,16.013,10.950198,0
2015-05-08,16.146999,16.146999,16.146999,16.146999,11.041832,0
2015-05-11,16.459,17,16.459,17,11.625141,1395
2015-05-12,16.843,16.843,16.843,16.843,11.517778,0
2015-05-13,16.622999,17.332001,16.622999,17.332001,11.852173,75
2015-05-14,16.573999,16.573999,16.573999,16.573999,11.333827,0
2015-05-15,16.292999,16.292999,16.292999,16.292999,11.141671,0
2015-05-18,16.669001,16.669001,16.669001,16.669001,11.398792,0
2015-05-19,16.898001,16.898001,16.898001,16.898001,11.55539,0
2015-05-20,17.84,18.125,17.84,18.125,12.39445,1600
2015-05-21,17.722,17.722,17.722,17.722,12.118867,0
2015-05-22,17.365999,17.617001,17.365999,17.617001,12.047065,25
2015-05-25,17.617001,17.617001,17.617001,17.617001,12.047065,0
2015-05-26,17.200001,17.200001,17.200001,17.200001,11.761907,15
2015-05-27,17.091,17.65,17.091,17.65,12.069631,205
2015-05-28,17.334,17.5,17.334,17.5,11.967055,160
2015-05-29,17.32,17.32,17.32,17.32,11.843966,0
2015-06-01,16.921,16.921,16.921,16.921,11.571117,0
2015-06-02,16.966,16.986,16.966,16.986,11.615567,30
2015-06-03,16.955999,16.955999,16.955999,16.955999,11.595051,0
2015-06-04,16.806999,16.806999,16.806999,16.806999,11.49316,0
2015-06-05,16.798,16.798,16.798,16.798,11.487006,0
2015-06-08,16.631001,16.631001,16.631001,16.631001,11.372807,0
2015-06-09,16.280001,16.35,16.280001,16.35,11.18065,1500
2015-06-10,16.027,16.027,16.027,16.027,10.959772,0
2015-06-11,16.16,16.16,16.16,16.16,11.050721,0
2015-06-12,16.530001,16.530001,16.530001,16.530001,11.303739,0
2015-06-15,15.934,16.5,15.934,16.5,12.534389,50
2015-06-16,16.027,16.027,16.027,16.027,12.17507,0
2015-06-17,16.212999,16.212999,16.212999,16.212999,12.316366,0
2015-06-18,16.017,16.017,16.017,16.017,12.167473,0
2015-06-19,16.489,16.489,16.489,16.489,12.526032,0
2015-06-22,16.631001,16.631001,16.631001,16.631001,12.633904,0
2015-06-23,17.08,17.167,17.08,17.167,13.041081,30
2015-06-24,17.124001,17.124001,17.124001,17.124001,13.008417,0
2015-06-25,17.091,17.091,17.091,17.091,12.983347,0
2015-06-26,17.035999,17.035999,17.035999,17.035999,12.941566,0
2015-06-29,17.139,17.15,17.139,17.15,13.028168,120
2015-06-30,17.15,17.162001,17.15,17.162001,13.037284,235
2015-07-01,17.232,17.629,17.15,17.15,13.028168,265
2015-07-02,16.59,16.59,16.59,16.59,12.602757,0
2015-07-03,16.606001,17.073,16.606001,17.073,12.969673,935
2015-07-06,17.691,17.700001,16.738001,16.738001,12.715188,220
2015-07-07,16.729,16.729,16.729,16.729,12.708351,0
2015-07-08,16.603001,16.603001,16.603001,16.603001,12.612635,0
2015-07-09,16.674,16.674,16.674,16.674,12.66657,0
2015-07-10,16.733,17.704,16.733,17.704,13.449019,600
2015-07-13,17.184,17.781,17.184,17.728001,13.467251,429
2015-07-14,17.388,17.388,17.388,17.388,13.208967,0
2015-07-15,17.593,17.593,17.593,17.593,13.364697,0
2015-07-16,17.542,18.006001,17.542,18.006001,13.678437,390
2015-07-17,17.475,17.475,17.475,17.475,13.275058,0
2015-07-20,17.438,17.438,17.438,17.438,13.246949,0
2015-07-21,18.009001,18.009001,18.009001,18.009001,13.680716,0
2015-07-22,18.829,19.41,18.829,19.41,14.744998,100
2015-07-23,18.829,18.829,18.197001,18.197001,13.823531,150
2015-07-24,17.945,19,17.945,19,14.433537,470
2015-07-27,18.457001,18.457001,18.318001,18.318001,13.91545,25
2015-07-28,18.436001,18.436001,18.436001,18.436001,14.005091,0
2015-07-29,17.912001,17.912001,17.912001,17.912001,13.607028,0
2015-07-30,18.301001,18.643,18.301001,18.643,14.162339,260
2015-07-31,17.923,17.923,17.923,17.923,13.615384,0
