,Open,High,Volume,Low,Close,Profit,id,MACD,CCI,OBV,RSI,rawFeatures,features,rawPrediction,probability,prediction
51,9.253999710083008,9.253999710083008,0.0,9.253999710083008,9.253999710083008,0.0,571.0,0.012759421952068806,25.605419158935547,7760.0,34.81673049926758,"[9.25399971008,9.25399971008,0.0,9.25399971008,9.25399971008,0.0127594219521,25.6054191589,7760.0,34.8167304993]","[9.25399971008,9.25399971008,0.0,9.25399971008,9.25399971008,0.0127594219521,25.6054191589,7760.0,34.8167304993]","[23.3989736222,26.6010263778]","[0.467979472444,0.532020527556]",1.0
52,9.619999885559082,9.619999885559082,0.0,9.619999885559082,9.619999885559082,0.0,576.0,0.09264440834522247,83.76533508300781,13760.0,51.606971740722656,"[9.61999988556,9.61999988556,0.0,9.61999988556,9.61999988556,0.0926444083452,83.765335083,13760.0,51.6069717407]","[9.61999988556,9.61999988556,0.0,9.61999988556,9.61999988556,0.0926444083452,83.765335083,13760.0,51.6069717407]","[23.3989736222,26.6010263778]","[0.467979472444,0.532020527556]",1.0
53,9.418999671936035,9.418999671936035,0.0,9.418999671936035,9.418999671936035,0.0,580.0,0.09392350167036057,-15.3172025680542,14760.0,44.007484436035156,"[9.41899967194,9.41899967194,0.0,9.41899967194,9.41899967194,0.0939235016704,-15.3172025681,14760.0,44.007484436]","[9.41899967194,9.41899967194,0.0,9.41899967194,9.41899967194,0.0939235016704,-15.3172025681,14760.0,44.007484436]","[23.3989736222,26.6010263778]","[0.467979472444,0.532020527556]",1.0
54,9.586000442504883,9.586000442504883,0.0,9.586000442504883,9.586000442504883,1.0,604.0,0.025788765400648117,-35.694664001464844,13960.0,21.487655639648438,"[9.5860004425,9.5860004425,0.0,9.5860004425,9.5860004425,0.0257887654006,-35.6946640015,13960.0,21.4876556396]","[9.5860004425,9.5860004425,0.0,9.5860004425,9.5860004425,0.0257887654006,-35.6946640015,13960.0,21.4876556396]","[23.3989736222,26.6010263778]","[0.467979472444,0.532020527556]",1.0
55,9.609999656677246,9.609999656677246,0.0,9.609999656677246,9.609999656677246,0.0,610.0,0.0007448552642017603,-24.253786087036133,13960.0,62.88209533691406,"[9.60999965668,9.60999965668,0.0,9.60999965668,9.60999965668,0.000744855264202,-24.253786087,13960.0,62.8820953369]","[9.60999965668,9.60999965668,0.0,9.60999965668,9.60999965668,0.000744855264202,-24.253786087,13960.0,62.8820953369]","[23.3989736222,26.6010263778]","[0.467979472444,0.532020527556]",1.0
56,9.65999984741211,9.78499984741211,117.0,9.65999984741211,9.78499984741211,0.0,615.0,0.007386299781501293,90.48760223388672,14077.0,60.48391342163086,"[9.65999984741,9.78499984741,117.0,9.65999984741,9.78499984741,0.0073862997815,90.4876022339,14077.0,60.4839134216]","[9.65999984741,9.78499984741,117.0,9.65999984741,9.78499984741,0.0073862997815,90.4876022339,14077.0,60.4839134216]","[29.7482024396,20.2517975604]","[0.594964048792,0.405035951208]",0.0
57,11.069999694824219,11.069999694824219,0.0,11.069999694824219,11.069999694824219,1.0,629.0,0.28468289971351624,120.73345947265625,14377.0,100.0,"[11.0699996948,11.0699996948,0.0,11.0699996948,11.0699996948,0.284682899714,120.733459473,14377.0,100.0]","[11.0699996948,11.0699996948,0.0,11.0699996948,11.0699996948,0.284682899714,120.733459473,14377.0,100.0]","[23.3989736222,26.6010263778]","[0.467979472444,0.532020527556]",1.0
58,10.888999938964844,10.888999938964844,0.0,10.888999938964844,10.888999938964844,1.0,640.0,0.25337153673171997,-57.29437255859375,14527.0,20.334264755249023,"[10.888999939,10.888999939,0.0,10.888999939,10.888999939,0.253371536732,-57.2943725586,14527.0,20.3342647552]","[10.888999939,10.888999939,0.0,10.888999939,10.888999939,0.253371536732,-57.2943725586,14527.0,20.3342647552]","[23.3989736222,26.6010263778]","[0.467979472444,0.532020527556]",1.0
59,10.998000144958496,10.998000144958496,0.0,10.998000144958496,10.998000144958496,0.0,647.0,0.13428504765033722,-35.96366882324219,13594.0,89.98174285888672,"[10.998000145,10.998000145,0.0,10.998000145,10.998000145,0.13428504765,-35.9636688232,13594.0,89.9817428589]","[10.998000145,10.998000145,0.0,10.998000145,10.998000145,0.13428504765,-35.9636688232,13594.0,89.9817428589]","[23.3989736222,26.6010263778]","[0.467979472444,0.532020527556]",1.0
60,12.039999961853027,12.039999961853027,0.0,12.039999961853027,12.039999961853027,1.0,660.0,0.19645611941814423,92.37577819824219,14654.0,100.0,"[12.0399999619,12.0399999619,0.0,12.0399999619,12.0399999619,0.196456119418,92.3757781982,14654.0,100.0]","[12.0399999619,12.0399999619,0.0,12.0399999619,12.0399999619,0.196456119418,92.3757781982,14654.0,100.0]","[23.3989736222,26.6010263778]","[0.467979472444,0.532020527556]",1.0
61,12.232999801635742,12.232999801635742,0.0,12.232999801635742,12.232999801635742,1.0,662.0,0.2800409495830536,82.71607971191406,14854.0,73.24032592773438,"[12.2329998016,12.2329998016,0.0,12.2329998016,12.2329998016,0.280040949583,82.7160797119,14854.0,73.2403259277]","[12.2329998016,12.2329998016,0.0,12.2329998016,12.2329998016,0.280040949583,82.7160797119,14854.0,73.2403259277]","[23.3989736222,26.6010263778]","[0.467979472444,0.532020527556]",1.0
62,12.373000144958496,12.61299991607666,600.0,12.373000144958496,12.61299991607666,1.0,663.0,0.3180806338787079,114.4596939086914,15454.0,70.2187728881836,"[12.373000145,12.6129999161,600.0,12.373000145,12.6129999161,0.318080633879,114.459693909,15454.0,70.2187728882]","[12.373000145,12.6129999161,600.0,12.373000145,12.6129999161,0.318080633879,114.459693909,15454.0,70.2187728882]","[29.315993346,20.684006654]","[0.586319866921,0.413680133079]",0.0
63,12.144000053405762,12.144000053405762,0.0,12.144000053405762,12.144000053405762,1.0,665.0,0.32995322346687317,34.1120491027832,15689.0,45.66699981689453,"[12.1440000534,12.1440000534,0.0,12.1440000534,12.1440000534,0.329953223467,34.1120491028,15689.0,45.6669998169]","[12.1440000534,12.1440000534,0.0,12.1440000534,12.1440000534,0.329953223467,34.1120491028,15689.0,45.6669998169]","[23.3989736222,26.6010263778]","[0.467979472444,0.532020527556]",1.0
64,12.861000061035156,12.861000061035156,0.0,12.861000061035156,12.861000061035156,0.0,670.0,0.3673509359359741,74.71929168701172,15689.0,50.932289123535156,"[12.861000061,12.861000061,0.0,12.861000061,12.861000061,0.367350935936,74.719291687,15689.0,50.9322891235]","[12.861000061,12.861000061,0.0,12.861000061,12.861000061,0.367350935936,74.719291687,15689.0,50.9322891235]","[23.3989736222,26.6010263778]","[0.467979472444,0.532020527556]",1.0
65,13.15999984741211,13.15999984741211,0.0,13.15999984741211,13.15999984741211,1.0,677.0,0.3328191339969635,102.87892150878906,15689.0,80.41400146484375,"[13.1599998474,13.1599998474,0.0,13.1599998474,13.1599998474,0.332819133997,102.878921509,15689.0,80.4140014648]","[13.1599998474,13.1599998474,0.0,13.1599998474,13.1599998474,0.332819133997,102.878921509,15689.0,80.4140014648]","[23.3989736222,26.6010263778]","[0.467979472444,0.532020527556]",1.0
66,13.13700008392334,13.13700008392334,0.0,13.13700008392334,13.13700008392334,0.0,685.0,0.27067503333091736,34.566707611083984,16189.0,37.837928771972656,"[13.1370000839,13.1370000839,0.0,13.1370000839,13.1370000839,0.270675033331,34.5667076111,16189.0,37.837928772]","[13.1370000839,13.1370000839,0.0,13.1370000839,13.1370000839,0.270675033331,34.5667076111,16189.0,37.837928772]","[23.3989736222,26.6010263778]","[0.467979472444,0.532020527556]",1.0
67,12.57699966430664,12.932000160217285,80.0,12.57699966430664,12.932000160217285,1.0,698.0,0.034405678510665894,-47.70293426513672,16519.0,52.568302154541016,"[12.5769996643,12.9320001602,80.0,12.5769996643,12.9320001602,0.0344056785107,-47.7029342651,16519.0,52.5683021545]","[12.5769996643,12.9320001602,80.0,12.5769996643,12.9320001602,0.0344056785107,-47.7029342651,16519.0,52.5683021545]","[29.0959535586,20.9040464414]","[0.581919071171,0.418080928829]",0.0
